Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1016/j.eswa.2024.123600,Ticino: A multi-modal remote sensing dataset for semantic segmentation,2024,journal-article,https://doi.org/10.1016/j.eswa.2024.123600,"0000-0001-9112-0574, 0000-0002-3967-8957, 0000-0001-7432-4284",Hyperspectral Image Analysis and Classification,Media Technology,Engineering,Physical Sciences,38,0,"['Remote Sensing', 'Object Recognition', 'Cross-Modal Retrieval', 'Feature Extraction', 'Feature Matching']"
10.3390/rs16122079,Deep Learning Hyperspectral Pansharpening on Large-Scale PRISMA Dataset,2024,journal-article,https://doi.org/10.3390/rs16122079,"0000-0001-9112-0574, 0000-0002-8505-1581, 0000-0002-3967-8957, 0000-0001-7432-4284",Multispectral and Hyperspectral Image Fusion,Media Technology,Engineering,Physical Sciences,0,3,"['Pansharpening', 'Hyperspectral', 'Hyperspectral Imaging', 'Multispectral', 'Sparse Representations']"
10.1016/j.eswa.2023.121368,Semi-supervised cross-lingual speech emotion recognition,2023,journal-article,https://doi.org/10.1016/j.eswa.2023.121368,"0000-0001-9112-0574, 0000-0002-0009-8007, 0000-0002-7070-1545, 0000-0002-5925-2646, 0000-0002-5071-0161, 0000-0001-7432-4284, 0000-0001-7461-1451, 0009-0007-1588-969X",Emotion Recognition and Analysis in Multimodal Data,Experimental and Cognitive Psychology,Psychology,Social Sciences,29,7,"['Robustness (evolution)', 'Emotion Recognition', 'Speech Emotion', 'Audio-Visual Speech Recognition', 'End-to-End Speech Recognition', 'Speech Enhancement', 'Labeled data']"
10.1007/978-3-031-51023-6_7,A General Purpose Method for Image Collection Summarization and Exploration,2024,book-chapter,https://doi.org/10.1007/978-3-031-51023-6_7,"0000-0001-9112-0574, 0000-0001-6269-1351, 0000-0001-7461-1451",Image Feature Retrieval and Recognition Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,21,0,"['Image Retrieval', 'Feature Matching', 'Content-Based Image Retrieval', 'Feature Descriptors', 'Image Inpainting']"
10.1109/ACCESS.2024.3396990,Synthetic Data Pretraining for Hyperspectral Image Super-Resolution,2024,journal-article,https://doi.org/10.1109/ACCESS.2024.3396990,"0000-0001-9112-0574, 0000-0001-7133-4137, 0000-0002-0009-8007, 0000-0003-1997-2910, 0000-0002-3965-3522, 0000-0002-0901-0251, 0000-0001-7461-1451",Multispectral and Hyperspectral Image Fusion,Media Technology,Engineering,Physical Sciences,34,0,"['Leverage (statistics)', 'RGB color model', 'Hyperspectral Imaging', 'Hyperspectral', 'Deep Learning']"
10.1016/j.cageo.2023.105433,A deep scalable neural architecture for soil properties estimation from spectral information,2023,journal-article,https://doi.org/10.1016/j.cageo.2023.105433,"0000-0001-9112-0574, 0000-0001-7432-4284, 0000-0002-6052-3140, 0000-0003-3997-0576, 0000-0001-7461-1451",Chemometrics in Analytical Chemistry and Food Technology,Analytical Chemistry,Chemistry,Physical Sciences,43,4,"['Terrain Analysis', 'Digital Soil Mapping', 'Soil Properties', 'Spectral Analysis', 'Deep Learning', 'Feature (linguistics)', 'Silt']"
10.3390/s23187876,Estimation of Soil Characteristics from Multispectral Sentinel-3 Imagery and DEM Derivatives Using Machine Learning,2023,journal-article,https://doi.org/10.3390/s23187876,"0000-0001-9112-0574, 0000-0001-7432-4284, 0000-0002-3967-8957, 0000-0003-1319-3924",Digital Soil Mapping Techniques,Environmental Engineering,Environmental Science,Physical Sciences,39,2,"['Digital Soil Mapping', 'Multispectral pattern recognition', 'Soil texture', 'Soil Properties', 'Terrain Analysis', 'Support Vector Machines', 'Global Soil Information', 'Texture (cosmology)']"
10.3390/s23187893,Quasi Real-Time Apple Defect Segmentation Using Deep Learning,2023,journal-article,https://doi.org/10.3390/s23187893,"0000-0001-9112-0574, 0000-0002-0009-8007, 0000-0001-7461-1451",Chemometrics in Analytical Chemistry and Food Technology,Analytical Chemistry,Chemistry,Physical Sciences,35,2,"['Overfitting', 'Surface Defect Detection', 'Fabric Defect Detection', 'RGB color model', 'Deep Learning', 'Wafer Map Defect Classification', 'Frame rate']"
10.3390/s23083788,An Open-Source Platform for GIS Data Management and Analytics,2023,journal-article,https://doi.org/10.3390/s23083788,"0000-0001-9112-0574, 0000-0001-7432-4284, 0000-0003-3929-8409, 0000-0001-7461-1451",Precision Agriculture Technologies,Plant Science,Agricultural and Biological Sciences,Life Sciences,34,5,"['Precision agriculture', 'Smart Farming', 'Vegetation Monitoring', 'Crop Yield Prediction', 'Agricultural Robotics']"
10.1007/s40860-021-00167-w,Deep learning and model personalization in sensor-based human activity recognition,2022,journal-article,https://doi.org/10.1007/s40860-021-00167-w,"0000-0001-9112-0574, 0000-0001-5718-630X, 0000-0003-1261-2234, 0000-0002-3499-0159",Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,39,49,"['Activity Recognition', 'Social Sensing', 'Ambient Intelligence', 'Deep Learning', 'Wearable Sensors', 'Activity tracker']"
10.1109/THMS.2023.3267898,Unified Framework for Identity and Imagined Action Recognition From EEG Patterns,2023,journal-article,https://doi.org/10.1109/THMS.2023.3267898,"0000-0001-9112-0574, 0000-0003-1138-3345, 0000-0002-7070-1545",Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences,45,3,"['Deep Learning for EEG', 'ENCODE', 'EEG Analysis', 'Head Gesture Recognition', 'Human-Computer Interaction', 'Brain-Computer Interfaces', 'Representation (politics)']"
10.1109/ICCE-Berlin56473.2022.9937098,Image Captioning using Pretrained Language Models and Image Segmentation,2022,conference-paper,https://doi.org/10.1109/ICCE-Berlin56473.2022.9937098,"0000-0001-9112-0574, 0000-0002-7070-1545, 0000-0001-8876-6323",Visual Question Answering in Images and Videos,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,23,0,"['Closed captioning', 'Image Captioning', 'Feature Matching', 'Language Understanding', 'Representation Learning', 'Object Recognition', 'Segmentation-based object categorization']"
10.1109/THMS.2022.3170829,U-WeAr: User Recognition on Wearable Devices through Arm Gesture,2022,journal-article,https://doi.org/10.1109/THMS.2022.3170829,"0000-0001-9112-0574, 0000-0002-7070-1545, 0000-0001-7197-4441, 0000-0003-4901-2910",Gesture Recognition in Human-Computer Interaction,Human-Computer Interaction,Computer Science,Physical Sciences,39,12,"['Gesture Recognition', 'Inertial Sensors', 'Human Identification', 'Wearable Devices', 'Kinect Sensor', 'Identification (biology)']"
10.1007/978-3-031-08421-8_23,ArabCeleb: Speaker Recognition in Arabic,2022,book-chapter,https://doi.org/10.1007/978-3-031-08421-8_23,"0000-0001-9112-0574, 0000-0002-7070-1545, 0000-0002-5925-2646, 0000-0003-0323-5078, 0000-0002-5071-0161, 0000-0001-7432-4284, 0000-0001-7461-1451, 0009-0007-1588-969X",Speech Recognition Technology,Artificial Intelligence,Computer Science,Physical Sciences,18,1,"['Speaker Verification', 'Spoken Dialogue Systems', 'End-to-End Speech Recognition', 'Automatic Speech Recognition', 'Language Modeling']"
