ORCID ID,Given_Name,Family_Name,Role,Keywords,Organization,H Index,Citations
0000-0003-4519-7030,Martin,Scharm,,Nessuna,CODE AHOI,11,778
0000-0002-9701-1851,Tomas,Radivoyevitch,Associate Staff,Nessuna,Cleveland Clinic,44,7171
0000-0002-9818-6821,Stefano,Di Corato,,Nessuna,Institute of Nanotechnology CNR-NANOTEC,6,156
0000-0001-7581-8497,Olexandr,Isayev,Carl and Amy Jones Professor of Chemistry,"machine learning, deep learning, molecular modeling, theoretical chemistry",Carnegie Mellon University,46,15620
0000-0002-6106-1347,Linda,Rieswijk,,Nessuna,Maastricht University,15,2572
0000-0003-3653-1906,Tomáš,Helikar,Associate Professor,Nessuna,University of Nebraska - Lincoln,27,2872
0000-0003-0852-1954,Richard,Meier,,Nessuna,"University of California, Santa Barbara",187,235977
0000-0003-3157-4309,Bin-Bin,Hu,,Nessuna,"Postdoc, University of Groningen, the Nethelands",12,442
0000-0002-5071-0161,Alexey,Petrovsky,Head of Department,Nessuna,"Federal Research Center “Computer Science and Control”, Russian Academy of Sciences",47,9136
0000-0002-3445-5711,Luc,Van Gool,,Nessuna,"professor computer vision INSAIT Sofia University, em. KU Leuven, em. ETHZ, Toyota Lab TRACE",197,241605
0000-0002-0196-7534,maarten joost,de vos,Orthopaedic Surgeon,Nessuna,Tergooi Hospital,,
0000-0001-7597-0579,Twan,van Laarhoven,Assistant Professor,Nessuna,Radboud University Nijmegen,16,2630
0000-0001-5723-3700,DANILO,PORRO,Docenti di ruolo di Ia fascia,"BIOTECNOLOGIE INDUSTRIALI, LIEVITI",Universita' di Milano Bicocca,48,9612
0009-0004-3881-4752,Marko,Subasic,Medical Doctor,Nessuna,Clinical Center of Vojvodina,22,1324
0000-0002-5827-0826,Avantika,Lal,Principal AI Scientist ,"Genomics, Machine Learning, Functional Genomics, Deep Learning",Genentech,11,673
0000-0003-3124-2152,Adib,Rastegarnia,,"Computer Networks, Software Defined Networking, Internet of Things, Wireless Networks",Purdue University,8,194
0000-0002-3330-783X,Wangmeng,Zuo,,Nessuna,"School of Computer Science and Technology, Harbin Institute of Technology",105,68501
0000-0001-5371-0776,Bhagya,Wijayawardena,,Nessuna,"PhD student, Purdue University",9,525
0009-0004-7626-8131,Caterina,Fregosi,PhD,Nessuna,University of Milano-Bicocca,1,3
0000-0001-5305-8044,Denis,Shepelev,,Nessuna,"PhD, Senior Researcher at AIRI",4,109
0000-0003-4926-3672,Arjan,Gijsenij,,Nessuna,AkzoNobel Decorative Coatings,20,4066
0000-0003-2557-8338,Jue,Wang,,Nessuna,Hohai University,80,32503
0000-0003-3035-1365,Alex,Savchik,Stazher-issledovatel',Nessuna,Institut problem peredachi informatsii imeni A A Kharkevicha RAN,7,161
0000-0001-6188-6413,Erica,Tavazzi,,"Disease progression modeling, Machine learning, Process mining, Missing data imputation",Università degli Studi di Padova,12,460
0000-0003-1121-9908,Valerio Maria,Caccavella,Resident,"Orthopaedics and Traumatology, Spinal surgery, Machine Learning",Istituto Ortopedico Gaetano Pini,,
0000-0003-2563-7561,Steffen,Klamt,,Nessuna,"Max Planck Institute for Dynamics of Complex Technical Systems, Magdeburg",52,12236
0000-0002-3225-4203,Aritro,Nath,Assistant Professor,Nessuna,City of Hope National Medical Center,15,1498
0000-0002-0279-6351,Maximilien,de Bayser,,Nessuna,IBM Research Brazil,6,178
0000-0001-5484-0994,Francesca,Guerriero,Borsista,Nessuna,Università degli Studi di Napoli Federico II,44,7899
0000-0002-8742-6623,Maxime,Guériau,,Nessuna,Assistant Professor at INSA Rouen Normandie,14,1162
0000-0002-2504-2608,SY-YEN,KUO,,Nessuna,National Taiwan University,55,13480
0000-0003-2426-8258,Andrew,Finney,,Nessuna,"Reader in Human Geography, University of St Andrews, UK",24,2784
0000-0002-2797-6914,Mauro,Castelli,,Nessuna,Istituto Regina Elena,39,6977
