,Given Name,Family Name,Department Code,Specific Field,Role,ORCID ID,Organization,Keywords,H Index,Citations,Past Institutions
76,ROBERTO,CROTTI,(INF/01),Computer Science,Research Fellow,0000-0003-3009-1874,University of Milan Bicocca,Nessuna,,,
77,SEYED MOJTABA,DARYABARI,(INF/01),Computer Science,Research Fellow,,University of Milan Bicocca,,,,
78,MANUEL,ELIA,(INF/01),Computer Science,Research Fellow,,University of Milan Bicocca,,,,
79,FEDERICA,FILIPPINI,(INF/01),Computer Science,Research Fellow,0000-0002-6549-924X,University of Milan Bicocca,,6.0,49.0,[]
80,YOUNAN,GAO,(INF/01),Computer Science,Research Fellow,0000-0003-4984-2551,University of Milan Bicocca,Data Structures and Algorithms,,,['Dalhousie University']
81,ROBERTO,GARRONE,(INF/01),Computer Science,Research Fellow,0009-0005-7060-6774,University of Milan Bicocca,Nessuna,,,
82,ALESSANDRO,GHERARDI,(INF/01),Computer Science,Research Fellow,0000-0002-5347-3851,University of Milan Bicocca,"Computer science, Computer vision, Image analysis, Image processing, mosaicing, skin surface analysis, computer graphics, virtual and augmented reality",,,"['University of Bologna', 'Advanced Computer System (Italy)', 'Arcetri Astrophysical Observatory', 'University of Florence']"
83,ALESSANDRA,GROSSI,(INF/01),Computer Science,Research Fellow,0000-0003-1308-8497,University of Milan Bicocca,"Effective computing, signal analysis, physiological signal, speech emotion recognition",5.0,49.0,[]
84,LUCA,GUGLIELMO,(INF/01),Computer Science,Research Fellow,0000-0002-5580-3623,University of Milan Bicocca,,2.0,16.0,
85,PRANAV,KASELA,(INF/01),Computer Science,Research Fellow,0000-0003-0972-2424,University of Milan Bicocca,"information retrieval, neural model, deep learning",3.0,38.0,"['Istituto di Scienza e Tecnologie dell\'Informazione ""Alessandro Faedo""', 'Institute of Scientific and Technical Information of China']"
86,ELSON,KURIAN,(INF/01),Computer Science,Research Fellow,0000-0002-6392-0870,University of Milan Bicocca,"software reliability, software testing",2.0,18.0,['University of Milano-Bicocca']
87,GIORGIO,LONGARI,(ING-INF/05),Information Processing Systems,Research Fellow,0000-0002-2086-9091,University of Milan Bicocca,Nessuna,,,[]
88,FILIPPO,MAGGIOLI,(ING-INF/05),Information Processing Systems,Research Fellow,0000-0001-8008-8468,University of Milan Bicocca,Nessuna,,,['Sapienza University of Rome']
89,JACOPO,MALTAGLIATI,(INF/01),Computer Science,Research Fellow,,University of Milan Bicocca,,,,
90,LUCA,MARCONI,(INF/01),Computer Science,Research Fellow,0000-0002-0236-6159,University of Milan Bicocca,"Human-Centered AI, Human-AI Interaction, Decision Support, Explainable AI, Complex Systems",2.0,17.0,"['Institute of Cognitive Sciences and Technologies', 'National Research Council', 'University of Milano-Bicocca', 'Class Editori (Italy)']"
91,GIORGIO,MARIANI,(INF/01),Computer Science,Research Fellow,0000-0003-3906-0513,University of Milan Bicocca,Nessuna,,,
92,GIULIAMARIA,MENARA,(INF/01),Computer Science,Research Fellow,0000-0001-7010-2000,University of Milan Bicocca,Nessuna,,,['University of Trieste']
93,GIAN CARLO,MILANESE,(INF/01),Computer Science,Research Fellow,0000-0002-1757-0152,University of Milan Bicocca,Knowledge Representation,3.0,17.0,[]
94,SANDIP JAYANTLIAL,MODHA,(INF/01),Computer Science,Research Fellow,,University of Milan Bicocca,,,,
95,SARA,NOCCO,(INF/01),Computer Science,Research Fellow,0009-0000-6086-8213,University of Milan Bicocca,Nessuna,,,
