"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works"
"SANDIP JAYANTLIAL","MODHA","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","",""
"SARA","NOCCO","(INF/01)","Computer Science","Research Fellow","0009-0000-6086-8213","University of Milano-Bicocca","APPROVED","Research Fellow","2024","Nessuna","N/A",0
"MARIA TERESA","ROSSI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0003-0273-7324","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",14
"AURORA","SAIBENE","(INF/01)","Computer Science","Research Fellow","0000-0002-4405-8234","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione","APPROVED","Postdoctoral fellow","2022","Nessuna","N/A",17
"SEYEDIMAN","SEYEDI","(MAT/09)","Operations Research","Research Fellow","","","TO CHECK","","","","",""
"EFFROSYNI","SOKLI","(INF/01)","Computer Science","Research Fellow","0009-0003-5388-2385","University of Milano-Bicocca","APPROVED","","N/A","Information Retrieval, Knowledge Representation, Nature Language Processing (NLP)","N/A",0
"HOLGADO LUCIA","VICENTE","(INF/01)","Computer Science","Research Fellow","0000-0002-6733-6567","Clinica Saude Animal ","TO CHECK","Médica Veterinária","1997","Nessuna","N/A",0
"AN QI","ZHAO","(INF/01)","Computer Science","Research Fellow","0009-0009-3390-7024","University of Milano-Bicocca","APPROVED","","N/A","Nessuna","N/A",0
"QURBAN","ALI","","SSD not available","Research Fellow","0009-0003-0087-9270","University of Milano-Bicocca","APPROVED","PhD Student ","2023","Autonomous Driving Systems (ADS), Software Testing, Machine Learning, Cyber Physical Systems (CPS)","N/A",0
"ABUBAKARI","ALIDU","","SSD not available","PhD Student","0009-0000-9251-919X","University of Milano-Bicocca","APPROVED","","N/A","Nessuna","N/A",0
"HAMZA","AMRANI","","SSD not available","PhD Student","0000-0002-7081-6051","Constantine 1 University","TO CHECK","","N/A","Nessuna","N/A",4
"GIANMARIA","BALDUCCI","","SSD not available","PhD Student","0000-0003-3607-0951","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"THOMAS","BARBERA","","SSD not available","PhD Student","0009-0001-5684-1867","University of Milano-Bicocca","APPROVED","PhD Student","2023","EEG Processing, Deep Learning, Digital Signal Processing, Neuroinformatics, AI-Assisted Healthcare","N/A",0
"FRANCESCO","CANONACO","","SSD not available","PhD Student","0009-0006-5554-8665","University of Milano-Bicocca","APPROVED","","2023","Nessuna","N/A",0
"MICHELE","CARBONERA","","SSD not available","PhD Student","0009-0000-3537-1977","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"VASCO","COELHO","","SSD not available","PhD Student","0009-0007-5742-0929","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"LUCA","COGO","","SSD not available","PhD Student","0009-0001-0056-053X","University of Milano-Bicocca","APPROVED","PhD Student","2023","Nessuna","N/A",0
"DAVIDE","COZZI","","SSD not available","PhD Student","0000-0003-2439-0608","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",6
"SALVATORE","D'ANTONA","","SSD not available","PhD Student","0000-0002-1283-8789","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",10
"FEDERICA","DI LAURO","","SSD not available","PhD Student","0000-0003-1244-6942","Istituto Nazionale di Geofisica e Vulcanologia Sezione di Milano","APPROVED","Researcher","2022","Nessuna","N/A",19
"FEDERICO","DI MARCO","","SSD not available","PhD Student","0000-0003-0376-1342","University of Milano-Bicocca","APPROVED","PhD Student","2023","Nessuna","N/A",20
"CATERINA","FREGOSI","","SSD not available","PhD Student","0009-0004-7626-8131","University of Milano-Bicocca","APPROVED","PhD","2024","Nessuna","N/A",0
"GIOVANNI DONATO","GALLO","","SSD not available","PhD Student","0009-0009-2413-5149","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"MATTEO","GARAVAGLIA","","SSD not available","PhD Student","0009-0006-7451-3986","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"MARCO","LOCATELLI","","SSD not available","PhD Student","0000-0003-0778-3653","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",166
"FRANCESCA","MACCARONE","","SSD not available","PhD Student","0009-0004-6221-2671","University of Milano-Bicocca","APPROVED","PhD student","2023","Nessuna","N/A",0
